Functional Location,Selected Line,Order,Priority,Description,Activity,Company Code,Operation Short Text,Oper. System Status,Operation WorkCenter,Actual work,Planning Plant,Plant work center,Maintenance Plant,Country/Region Key,WBS element,WBS order header,WBS Element of Operation
ACME.OWF01.GT04.MDA11,,24000155808,4,GEV: 01 P1 Blade A Repair 2026,0010,8404,GEV: 01 P1 Blade A Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT09.MDA12,,24000156040,4,GEV: 08 P1 Blade B Repair 2026,0010,8404,GEV: 08 P1 Blade B Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT14.MDA13,,24000156043,4,GEV: 10 P1 Blade C Repair 2026,0010,8404,GEV: 10 P1 Blade C Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT19.MDA13,,24000156044,4,GEV: 12 P1 Blade C Repair 2026,0010,8404,GEV: 12 P1 Blade C Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT23.MDA13,,24000155877,4,GEV: 13 P1 Blade C Repair 2026,0010,8404,GEV: 13 P1 Blade C Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT27.MDA11,,24000155879,4,GEV: 15 P1 Blade A Repair 2026,0010,8404,GEV: 15 P1 Blade A Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT31.MDA13,,24000156080,4,GEV: 16 P1 Blade C Repair 2026,0010,8404,GEV: 16 P1 Blade C Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT35.MDA11,,24000156082,4,GEV: 17 P1 Blade A Repair 2026,0010,8404,GEV: 17 P1 Blade A Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT35.MDA13,,24000156081,4,GEV: 17 P1 Blade C Repair 2026,0010,8404,GEV: 17 P1 Blade C Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT39.MDA12,,24000156091,4,GEV: 18 P1 Blade B Repair 2026,0010,8404,GEV: 18 P1 Blade B Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT43.MDA13,,24000156083,4,GEV: 20 P1 Blade C Repair 2026,0010,8404,GEV: 20 P1 Blade C Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT47.MDA11,,24000156084,4,GEV: 21 P1 Blade A Repair 2026,0010,8404,GEV: 21 P1 Blade A Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT51.MDA13,,24000156086,4,GEV: 22 P1 Blade C Repair 2026,0010,8404,GEV: 22 P1 Blade C Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT55.MDA11,,24000156088,4,GEV: 23 P1 Blade A Repair 2026,0010,8404,GEV: 23 P1 Blade A Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT55.MDA12,,24000156087,4,GEV: 23 P1 Blade B Repair 2026,0010,8404,GEV: 23 P1 Blade B Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT59.MDA12,,24000156089,4,GEV: 24 P1 Blade B Repair 2026,0010,8404,GEV: 24 P1 Blade B Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT63.MDA11,,24000156092,4,GEV: 25 P1 Blade A Repair 2026,0010,8404,GEV: 25 P1 Blade A Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
ACME.OWF01.GT67.MDA13,,24000156090,4,GEV: 26 P1 Blade C Repair 2026,0010,8404,GEV: 26 P1 Blade C Repair 2026,REL,MECH,0,ACM1,MECH,ACM1,GB,,,
